"1","ProjectVersion","1.1","1"
"241","derived","derived","300"
"242","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_consentTierStatusCollection_edu.wustl.catissuecore.domain.ConsentTierStatus","301"
"243","derived","derived","301"
"244","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","302"
"245","derived","derived","302"
"246","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","303"
"247","derived","derived","303"
"248","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","304"
"249","derived","derived","304"
"250","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","305"
"251","derived","derived","305"
"252","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_parentSpecimen_childrenSpecimen_edu.wustl.catissuecore.domain.Specimen","306"
"253","derived","derived","306"
"254","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_edu.wustl.catissuecore.domain.Specimen_specimenCharacteristics_edu.wustl.catissuecore.domain.SpecimenCharacteristics","307"
"255","derived","derived","307"
"256","derived","derived","308"
"257","derived","derived","309"
"258","derived","derived","310"
"259","derived","derived","311"
"260","derived","derived","312"
"261","derived","derived","313"
"262","derived","derived","314"
"263","derived","derived","315"
"264","derived","derived","316"
"265","derived","derived","317"
"266","derived","derived","318"
"267","derived","derived","319"
"268","derived","derived","320"
"269","derived","derived","321"
"270","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","322"
"271","derived","derived","322"
"272","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","323"
"273","derived","derived","323"
"274","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","324"
"275","derived","derived","324"
"276","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","325"
"277","derived","derived","325"
"278","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_availableQuantity_edu.wustl.catissuecore.domain.Quantity","326"
"279","derived","derived","326"
"280","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","327"
"281","derived","derived","327"
"282","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","328"
"283","derived","derived","328"
"284","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","329"
"285","derived","derived","329"
"286","actualAssociationPointer","edu.wustl.catissuecore.domain.Specimen_null_initialQuantity_edu.wustl.catissuecore.domain.Quantity","330"
